method_label,source_group,line,source_type,source_zone,configured_people,evacuated_people,exit_name,people,share_within_group
PaperImprovedAStar,L16_platform::Platform_L16_A_C4_Wait,L16,platform_waiting,Platform_L16_A_C4_Wait,4.0,4.0,Exit_L16_10,4.0,1.0
PaperImprovedAStar,L16_platform::Platform_L16_A_C5_Wait,L16,platform_waiting,Platform_L16_A_C5_Wait,4.0,4.0,Exit_L16_10,4.0,1.0
PaperImprovedAStar,L16_platform::Platform_L16_A_C6_Wait,L16,platform_waiting,Platform_L16_A_C6_Wait,3.0,3.0,Exit_L16_10,3.0,1.0
PaperImprovedAStar,L16_platform::Platform_L16_B_C1_Wait,L16,platform_waiting,Platform_L16_B_C1_Wait,3.0,3.0,Exit_L16_11,3.0,1.0
PaperImprovedAStar,L16_platform::Platform_L16_B_C2_Wait,L16,platform_waiting,Platform_L16_B_C2_Wait,3.0,3.0,Exit_L16_11,3.0,1.0
PaperImprovedAStar,L16_platform::Platform_L16_B_C3_Wait,L16,platform_waiting,Platform_L16_B_C3_Wait,3.0,3.0,Exit_L16_11,3.0,1.0
PaperImprovedAStar,L16_platform::Platform_L16_B_C4_Wait,L16,platform_waiting,Platform_L16_B_C4_Wait,3.0,3.0,Exit_L16_10,3.0,1.0
PaperImprovedAStar,L16_platform::Platform_L16_B_C5_Wait,L16,platform_waiting,Platform_L16_B_C5_Wait,4.0,4.0,Exit_L16_10,4.0,1.0
PaperImprovedAStar,L16_platform::Platform_L16_B_C6_Wait,L16,platform_waiting,Platform_L16_B_C6_Wait,3.0,3.0,Exit_L16_10,3.0,1.0
PaperImprovedAStar,L16_hall,L16,hall_people,,15.0,15.0,Exit_L16_10,10.0,0.6666666666666666
PaperImprovedAStar,L16_hall,L16,hall_people,,15.0,15.0,Exit_L16_11,5.0,0.3333333333333333
PaperImprovedAStar,L16_L18_transfer,L16,transfer_people,L18,6.0,6.0,Exit_L18_12,6.0,1.0
PaperImprovedAStar,L16_Maglev_transfer,L16,transfer_people,Maglev,21.0,21.0,Exit_L2_6,21.0,1.0
PaperImprovedAStar,L18_platform::Platform_L18_C1_Wait,L18,platform_waiting,Platform_L18_C1_Wait,29.0,29.0,Exit_L18_12,29.0,1.0
PaperImprovedAStar,L18_platform::Platform_L18_C2_Wait,L18,platform_waiting,Platform_L18_C2_Wait,32.0,32.0,Exit_L18_12,32.0,1.0
PaperImprovedAStar,L18_platform::Platform_L18_C3_Wait,L18,platform_waiting,Platform_L18_C3_Wait,29.0,29.0,Exit_L18_12,29.0,1.0
PaperImprovedAStar,L18_platform::Platform_L18_C4_Wait,L18,platform_waiting,Platform_L18_C4_Wait,28.0,28.0,Exit_L18_12,28.0,1.0
PaperImprovedAStar,L18_platform::Platform_L18_C5_Wait,L18,platform_waiting,Platform_L18_C5_Wait,28.0,28.0,Exit_L18_17,28.0,1.0
PaperImprovedAStar,L18_platform::Platform_L18_C6_Wait,L18,platform_waiting,Platform_L18_C6_Wait,32.0,32.0,Exit_L18_17,32.0,1.0
PaperImprovedAStar,L18_hall,L18,hall_people,,125.0,125.0,Exit_L18_12,53.0,0.424
PaperImprovedAStar,L18_hall,L18,hall_people,,125.0,125.0,Exit_L18_17,72.0,0.576
PaperImprovedAStar,L18_L16_transfer,L18,transfer_people,L16,188.0,188.0,Exit_L16_10,188.0,1.0
PaperImprovedAStar,L2_platform::Platform_L2_Z1_Wait,L2,platform_waiting,Platform_L2_Z1_Wait,50.0,50.0,Exit_L16_11,1.0,0.02
PaperImprovedAStar,L2_platform::Platform_L2_Z1_Wait,L2,platform_waiting,Platform_L2_Z1_Wait,50.0,50.0,Exit_L2_2,49.0,0.98
PaperImprovedAStar,L2_platform::Platform_L2_Z2_Wait,L2,platform_waiting,Platform_L2_Z2_Wait,69.0,69.0,Exit_L2_2,62.0,0.8985507246376812
PaperImprovedAStar,L2_platform::Platform_L2_Z2_Wait,L2,platform_waiting,Platform_L2_Z2_Wait,69.0,69.0,Exit_L2_4,7.0,0.10144927536231885
PaperImprovedAStar,L2_platform::Platform_L2_Z3_Wait,L2,platform_waiting,Platform_L2_Z3_Wait,71.0,71.0,Exit_L16_11,1.0,0.014084507042253521
PaperImprovedAStar,L2_platform::Platform_L2_Z3_Wait,L2,platform_waiting,Platform_L2_Z3_Wait,71.0,71.0,Exit_L2_2,28.0,0.39436619718309857
PaperImprovedAStar,L2_platform::Platform_L2_Z3_Wait,L2,platform_waiting,Platform_L2_Z3_Wait,71.0,71.0,Exit_L2_3,7.0,0.09859154929577464
PaperImprovedAStar,L2_platform::Platform_L2_Z3_Wait,L2,platform_waiting,Platform_L2_Z3_Wait,71.0,71.0,Exit_L2_4,35.0,0.49295774647887325
PaperImprovedAStar,L2_platform::Platform_L2_Z4_Wait,L2,platform_waiting,Platform_L2_Z4_Wait,46.0,46.0,Exit_L2_2,18.0,0.391304347826087
PaperImprovedAStar,L2_platform::Platform_L2_Z4_Wait,L2,platform_waiting,Platform_L2_Z4_Wait,46.0,46.0,Exit_L2_4,28.0,0.6086956521739131
PaperImprovedAStar,L2_hall,L2,hall_people,,350.0,350.0,Exit_L2_2,74.0,0.21142857142857144
PaperImprovedAStar,L2_hall,L2,hall_people,,350.0,350.0,Exit_L2_3,92.0,0.26285714285714284
PaperImprovedAStar,L2_hall,L2,hall_people,,350.0,350.0,Exit_L2_4,129.0,0.36857142857142855
PaperImprovedAStar,L2_hall,L2,hall_people,,350.0,350.0,Exit_L2_6,55.0,0.15714285714285714
PaperImprovedAStar,L2_L16_transfer,L2,transfer_people,L16,152.0,152.0,Exit_L16_11,152.0,1.0
PaperImprovedAStar,L2_L18_transfer,L2,transfer_people,L18,157.0,157.0,Exit_L18_12,157.0,1.0
PaperImprovedAStar,L2_L7_transfer,L2,transfer_people,L7,217.0,217.0,Exit_L7_8/9,217.0,1.0
PaperImprovedAStar,L7_platform::Platform_L7_C1_Wait,L7,platform_waiting,Platform_L7_C1_Wait,33.0,33.0,Exit_L7_7,14.0,0.42424242424242425
PaperImprovedAStar,L7_platform::Platform_L7_C1_Wait,L7,platform_waiting,Platform_L7_C1_Wait,33.0,33.0,Exit_L7_8/9,19.0,0.5757575757575758
PaperImprovedAStar,L7_platform::Platform_L7_C2_Wait,L7,platform_waiting,Platform_L7_C2_Wait,46.0,46.0,Exit_L7_7,1.0,0.021739130434782608
PaperImprovedAStar,L7_platform::Platform_L7_C2_Wait,L7,platform_waiting,Platform_L7_C2_Wait,46.0,46.0,Exit_L7_8/9,45.0,0.9782608695652174
PaperImprovedAStar,L7_platform::Platform_L7_C3_Wait,L7,platform_waiting,Platform_L7_C3_Wait,36.0,36.0,Exit_L7_7,17.0,0.4722222222222222
PaperImprovedAStar,L7_platform::Platform_L7_C3_Wait,L7,platform_waiting,Platform_L7_C3_Wait,36.0,36.0,Exit_L7_8/9,19.0,0.5277777777777778
PaperImprovedAStar,L7_platform::Platform_L7_C4_Wait,L7,platform_waiting,Platform_L7_C4_Wait,44.0,44.0,Exit_L7_8/9,44.0,1.0
PaperImprovedAStar,L7_platform::Platform_L7_C5_Wait,L7,platform_waiting,Platform_L7_C5_Wait,37.0,37.0,Exit_L7_8/9,37.0,1.0
PaperImprovedAStar,L7_platform::Platform_L7_C6_Wait,L7,platform_waiting,Platform_L7_C6_Wait,23.0,23.0,Exit_L7_8/9,23.0,1.0
PaperImprovedAStar,L7_hall,L7,hall_people,,112.0,112.0,Exit_L7_7,87.0,0.7767857142857143
PaperImprovedAStar,L7_hall,L7,hall_people,,112.0,112.0,Exit_L7_8/9,25.0,0.22321428571428573
